Site,SubSite,CaptureDate,Species,PondLocation,IndividualID,Sex,Age,MassG,SVLmm,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead,Temp,Temp_1w,Temp_2w,Temp_3w,Temp_4w,Air_Max,Air_Max1,Air_Max2,Air_Max3,Air_Max4
SPR,1,5/8/2020,NOVI,D1112,BXXXRR,M,,,,Y,0,1802200143,pos,572065.6918,20ARMI1604,15.3 C,,0,,,9.369265152,9.975883117,7.463122511,6.581394913,7.457205952,17.8,17.84285714,13.11428571,10.31428571,10.87142857
SPR,1,5/8/2020,NOVI,D1112,BXRXXB,M,,,,Y,0,1802200060,pos,6295.37561,20ARMI1605,,,0,,,9.369265152,9.975883117,7.463122511,6.581394913,7.457205952,17.8,17.84285714,13.11428571,10.31428571,10.87142857
SPR,1,5/8/2020,NOVI,T27,XRXRRX,F,,,,Y,0,1802200055,pos,2438277.858,20ARMI1606,,,0,,,9.369265152,9.975883117,7.463122511,6.581394913,7.457205952,17.8,17.84285714,13.11428571,10.31428571,10.87142857
SPR,1,5/8/2020,NOVI,T37,XRBXXR.a,M,,,,Y,0,1802200144,pos,4407.636668,20ARMI1610,,,0,,,9.369265152,9.975883117,7.463122511,6.581394913,7.457205952,17.8,17.84285714,13.11428571,10.31428571,10.87142857
SPR,1,5/8/2020,NOVI,T39,RYYOBX,F,,,,Y,0,1802200146,pos,11435.00819,20ARMI1612,,,0,,,9.369265152,9.975883117,7.463122511,6.581394913,7.457205952,17.8,17.84285714,13.11428571,10.31428571,10.87142857
SPR,1,5/8/2020,NOVI,T31,XRRXXR,M,,,,Y,0,1802200057,pos,1341.472784,20ARMI1613,bleeding,1,0,,,9.369265152,9.975883117,7.463122511,6.581394913,7.457205952,17.8,17.84285714,13.11428571,10.31428571,10.87142857
SPR,1,5/8/2020,NOVI,T33,OXRBBR,M,,,,Y,0,1802200141,pos,1165.968181,20ARMI1618,,,0,,,9.369265152,9.975883117,7.463122511,6.581394913,7.457205952,17.8,17.84285714,13.11428571,10.31428571,10.87142857
SPR,1,6/9/2021,NOVI,D57,XOXXXO,M,,,40,Y,0,1802400228,pos,20303.6074,21ARMI0441,"22.5c, tail clip 21ARMI0441, bleeding",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,D52,XXOYOR,M,,,36,Y,0,1802400235,pos,6301.36599,21ARMI0442,"21.7c, shed skin in bag, tail clip 21ARMI0442, bleeding",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,T40,XBROXB,F,,,37,Y,0,1802400327,pos,5692.968991,21ARMI0443,"21.8c, tail clip 21ARMI0443",,0,,,,,,,,,,,,
