"","Mark","JD","bd_load","log_bd_load"
"332",1116,170,3384.79222,8.12734319636839
"333",1117,159,144116.015,11.8783808527408
"334",1117,167,2004.240756,7.60351941033739
"335",1129,159,0,0
"336",1131,162,1064.183392,6.97090226238
"337",1131,188,205.1219034,5.32846775784393
"338",1137,135,0,0
"339",1138,166,1581.105463,7.36651181045456
"340",1138,189,399.9803655,5.9939124622674
"341",1142,159,551.7279311,6.314865893296
"342",1147,99,0,0
"343",1162,159,5669.735414,8.64307409095664
"344",1162,187,0,0
"345",1175,159,5087.535476,8.53474534240684
"346",1179,167,8944.38249,9.09889275522986
"347",1180,170,0,0
"348",1184,78,0,0
"349",1187,167,5032.367187,8.52384446000633
"350",1188,134,1027.834649,6.93618203195977
"351",1192,78,0,0
"352",1192,79,0,0
"353",1196,99,6713.628222,8.81204374212306
"354",1197,162,4720.124355,8.459802261017
"355",1209,190,0,0
"356",1210,159,0,0
"357",1215,167,21765.03151,9.98810584592564
"358",1215,188,221.5408841,5.4051108334906
"359",1217,92,0,0
"360",1217,142,0,0
"361",1220,99,0,0
"362",1224,138,1757.245334,7.47207162140955
"363",1225,168,86742.67544,11.3707127895606
"364",1231,142,484724.8856,13.0913388258129
"365",1238,80,0,0
"366",1239,78,0,0
"367",1243,99,249.7700154,5.52453624579003
"368",1248,167,170417.7587,12.0460139735859
"369",1253,78,0,0
"370",1265,159,0,0
"371",1267,135,25966.24776,10.1645913213742
"372",1267,142,143723.7244,11.8756551129388
"373",1267,162,15033.52655,9.61810460506981
"374",1267,189,374.6518664,5.92866282725751
"375",1270,187,0,0
"376",1274,75,0,0
"377",1274,141,10562.36268,9.26514694217646
"378",1276,99,0,0
"379",1276,168,2514.7786,7.83033761712803
"380",1278,159,0,0
"381",1283,135,20248.32358,9.91587666851999
"382",1283,189,16192.68745,9.69237678170165
"383",1284,162,495.0734413,6.20672398290117
"384",1288,167,10876.43915,9.29444612046289
"385",1293,78,0,0
"386",1296,167,98263.18755,11.495414921851
"387",1297,134,156.3960249,5.05876508089947
"388",1301,78,0,0
"389",1304,167,178257.2717,12.0909887422489
"390",1305,134,0,0
"391",1307,99,0,0
"392",1309,78,0,0
"393",1312,167,9406.982436,9.1493138032149
"394",1313,134,0,0
"395",1314,166,2138.2807,7.66822493001908
"396",1315,187,699.3813074,6.55162491159182
"397",1317,78,0,0
"398",1317,92,0,0
"399",1319,138,0,0
"400",1320,168,59914.83693,11.0006961386413
"401",1325,167,3964.527008,8.28539404024284
"402",1326,134,70368.37637,11.1615134527642
"403",1327,189,0,0
"404",1328,77,0,0
"405",1329,78,0,0
"406",1346,69,0,0
"407",1346,99,134.073213,4.90581694995541
"408",1346,167,1734.640306,7.45913167674742
"409",1351,138,705.6044527,6.56047103649025
"410",1351,189,0,0
"411",1352,168,44727.40917,10.7083641306256
"412",1365,191,894.438249,6.79731326211586
"413",1372,162,3810.891105,8.24588069799671
"414",1385,138,250.9642841,5.52928734770491
"415",1386,168,128526.7107,11.7638998075397
"416",1397,138,918.5276602,6.82386012537551
